DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RXO,RMED
515.42407227,,23.26599884,-0.009,,1.9938999414,1.0429999828,47.988903046,159.37785339,48585544.0,1.2730240822,27.180198669,1.1250969172,,1.1250969172
515.57647705,,23.26599884,-0.008,,1.9939005375,1.0489976406,49.567993164,159.38197327,48585208.0,1.2880336046,26.682001114,1.1470912695,,1.1470912695
515.72888184,,23.26599884,-0.005,,1.993999958,1.0759891272,53.506763458,159.37782288,48584872.0,1.3090512753,27.306600571,1.1660192013,,1.1660192013
515.88128662,,23.26599884,-0.008,,1.993999958,1.1259800196,54.705806732,159.37785339,48584540.0,1.3410415649,27.679649353,1.1700432301,,1.1700432301
516.03369141,,23.26599884,-0.006,,1.993999958,1.2109999657,55.9049263,159.38197327,48584204.0,1.3670256138,26.838348389,1.1790288687,,1.1790288687
516.18609619,,23.26599884,-0.01,,1.993999958,1.2929999828,55.27325058,159.37782288,48583868.0,1.3830128908,27.056400299,1.1850527525,,1.1850527525
516.33850098,,23.26599884,-0.007,,1.993999958,1.4190000296,56.364665985,159.37782288,48583532.0,1.3910080194,27.304748535,1.1960432529,,1.1960432529
516.49090576,,23.26599884,-0.001,,1.993999958,1.5249999762,57.331001282,159.37782288,48583196.0,1.3960129023,26.52519989,1.2050577402,,1.2050577402
516.64331055,,23.26599884,0.0270000007,,1.993999958,1.69599998,57.324344635,159.37782288,48582832.0,1.4040192366,26.649448395,1.2170577049,,1.2170577049
516.7956543,,23.25,0.0719999969,,1.993999958,1.8430000544,55.936256409,159.37782288,48582500.0,1.4160180092,26.306150436,1.2290308475,,1.2290308475
516.94805908,,21.483999252,0.0719999969,,1.993999958,2.007999897,53.736679077,159.37782288,48582188.0,1.4310215712,26.430511475,1.2360527515,,1.2360527515
517.10046387,,21.34400177,0.0590000004,,1.993999958,1.9759999514,54.350780487,159.37782288,48581828.0,1.4490215778,26.024700165,1.2480485439,,1.2480485439
517.25286865,,21.391002655,0.0250000004,,1.993999958,1.817999959,56.349773407,159.37782288,48581492.0,1.4670203924,25.775915146,1.259057641,,1.259057641
