DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,SGR,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RMED
1118.7022705,,17.608999252,,,,2.3174321651,,42.968502045,143.462677,160.80567932,1.8049999475,54.861000061,0.2779999971,1.9280223846
1118.8546143,,17.593999863,,,,2.3167266846,,42.65404892,143.73527527,161.0375061,1.8050014973,55.111000061,0.3190000057,1.9420448542
1119.0070801,,17.593999863,,,,2.3148758411,,41.434444427,144.28248596,161.63424683,1.8060032129,55.268001556,0.2469999939,1.9699727297
1119.1594238,,17.593999863,,,,2.3133175373,,39.21995163,144.69317627,162.10723877,1.8080143929,55.111000061,0.2380000055,1.9529759884
1119.3118896,,17.593999863,,,,2.313231945,,39.813949585,144.68385315,162.13731384,1.8170176744,55.205001831,0.2579999864,1.938024044
1119.4642334,,17.593999863,,,,2.3133773804,,40.407699585,144.65496826,162.09579468,1.8280335665,55.361000061,0.2980000079,1.9530031681
1119.6166992,,17.593999863,,,,2.3152575493,,41.468200684,144.10038757,161.49812317,1.8490303755,56.268001556,0.3330000043,1.9550080299
1119.769043,,17.608999252,,,,2.3195123672,,40.969352722,142.92420959,160.15959167,1.8680416346,57.111000061,0.3219999969,1.9599711895
1119.9215088,,17.593999863,,,,2.3247025013,,41.18844986,141.52398682,158.55831909,1.8940368891,57.736000061,0.3149999976,1.9420032501
1120.0738525,,17.593999863,,,,2.3297669888,,41.473903656,140.18270874,156.99319458,1.9170353413,58.455001831,0.3089999855,1.943972826
1120.2261963,,17.593999863,,,,2.3348433971,,44.532150269,138.78401184,155.45648193,1.9390200377,58.236175537,0.2610384524,1.9270120859
1120.3786621,,17.608999252,,,,2.3389389515,,45.976905823,137.62487793,154.22344971,1.964040041,57.955001831,0.2370000035,1.9420384169
1120.5310059,,17.593999863,,,,2.3432021141,,50.910881042,136.4577179,152.96530151,1.9890152216,57.986000061,0.2590000033,1.9659807682
1120.6834717,,17.593999863,,,,2.3528623581,,57.00535965,134.06588745,150.176651,2.0080192089,58.486000061,0.2450000048,1.9420176744
1120.8358154,,17.608999252,,,,2.3647563457,,60.335845947,130.95472717,146.77319336,2.0200176239,59.361000061,0.3030000031,1.9530271292
1120.9882813,,17.625,,,,2.3707485199,,55.239833832,129.40670776,145.07997131,2.0310192108,58.611000061,0.2430000007,1.97004807
1121.140625,,17.608999252,,,,2.3713908195,,48.904697418,129.33929443,144.90791321,2.0430223942,57.830001831,0.2029999942,1.9999967813
1121.2930908,,17.593999863,,,,2.3669688702,,48.087593079,130.40437317,146.16000366,2.0570030212,57.111000061,0.1770000011,1.9980785847
1121.4454346,,17.593999863,,,,2.3602874279,,44.090847015,132.08476257,148.03285217,2.0590081215,57.236000061,0.1889999956,2.0470991135
1121.5979004,,17.593999863,,,,2.3599386215,,42.124500275,132.22381592,148.1230011,2.064009428,58.393001556,0.224999994,2.1090593338
1121.7502441,,17.625,,,,2.3639349937,,41.820053101,131.20227051,146.99214172,2.0700159073,59.798999786,0.2339999974,2.1460447311
1121.90271,,17.608999252,,,,2.3677091599,,46.217849731,130.21012878,145.9394989,2.0800223351,60.673999786,0.1800000072,2.1740689278
1122.0550537,,17.608999252,,,,2.3720576763,,45.496147156,129.15940857,144.73616028,2.0940065384,60.393001556,0.1679999977,2.2170159817
1122.2073975,,17.608999252,,,,2.3752651215,,43.094203949,128.37231445,143.83906555,2.0980072021,60.298999786,0.1609999985,2.2269711494
1122.3598633,,17.608999252,,,,2.3768281937,,43.34810257,128.0165863,143.4127655,2.1069920063,60.548999786,0.1420000046,2.1909406185
1122.512207,,17.593999863,,,,2.3798065186,,45.90574646,127.22113037,142.61381531,2.1019968987,60.986000061,0.1550000012,2.1540081501
1122.6646729,,17.608999252,,,,2.3842351437,,45.596252441,126.17469025,141.4127655,2.0979905128,61.580001831,0.1270000041,2.1639375687
1122.8170166,,17.593999863,,,,2.3864598274,,46.998649597,125.65483856,140.81207275,2.0920031071,61.705001831,0.1209999993,2.124932766
1122.9694824,,17.593999863,,,,2.3873414993,,45.313850403,125.40377808,140.5836792,2.0959968567,62.080001831,0.126000002,2.0409309864
1123.1218262,,17.593999863,,,,2.3886597157,,45.841449738,125.15504456,140.24378967,2.0939712524,62.298999786,0.125,1.998032093
1123.274292,,17.608999252,,,,2.3887679577,,44.250701904,125.11139679,140.21754456,2.0759840012,61.736000061,0.1589999944,2.0181617737
1123.4266357,,17.608999252,,,,2.3860709667,,44.682395935,125.74650574,140.92849731,2.0659792423,61.580001831,0.1860000044,2.119052887
1123.5791016,,17.593999863,,,,2.3796539307,,41.188499451,127.31499481,142.65757751,2.0529839993,61.643001556,0.2349999994,2.1520223618
1123.7314453,,17.593999863,,,,2.3717367649,,41.503353119,129.28788757,144.82575989,2.0430095196,61.143001556,0.2409999967,2.1659374237
1123.8839111,,17.593999863,,,,2.3697452545,,43.600410461,129.66719055,145.38537598,2.0489871502,60.798999786,0.2399999946,2.1269569397
1124.0362549,,17.593999863,,,,2.3778207302,,47.597354889,127.78718567,143.17735291,2.0409903526,60.423999786,0.2520000041,2.0999581814
1124.1887207,,17.608999252,,,,2.3887917995,,49.683994293,125.13528442,140.20857239,2.0349776745,60.517601013,0.2290168107,2.0739967823
1124.3410645,,17.593999863,,,,2.3943936825,,47.188697815,123.75127411,138.73361206,2.0209856033,60.018001556,0.25,2.0720095634
1124.4934082,,17.608999252,,,,2.3929028511,,47.622119904,124.095047,139.12237549,2.011998415,59.518001556,0.2919999957,2.0780143738
1124.645874,,17.608999252,,,,2.3912718296,,44.036254883,124.55363464,139.54598999,2.0100095272,60.611000061,0.2290000021,2.0959310532
1124.7982178,,17.593999863,,,,2.3980364799,,47.311897278,123.0402832,137.80018616,2.0160017014,60.330001831,0.2060000002,2.0530247688
1124.9506836,,17.593999863,,,,2.408298254,,45.940605164,120.57636261,135.17121887,2.0179870129,60.143001556,0.2049999982,2.0840001106
1125.1030273,,17.593999863,,,,2.4169633389,,47.558998108,118.68312073,132.99098206,2.0099663734,60.673999786,0.2240000069,2.0840129852
1125.2554932,,17.593999863,,,,2.4197282791,,45.063251495,118.04167938,132.30245972,1.9889390469,60.548999786,0.2319999933,2.091937542
1125.4078369,,17.593999863,,,,2.4135048389,,45.212444305,119.51468658,133.86845398,1.9509695768,61.205001831,0.2419999987,2.05300951
1125.5603027,,17.593999863,,,,2.4057993889,,41.111278534,121.16783142,135.81210327,1.9319903851,60.548999786,0.248999998,2.0590465069
1125.7126465,,17.593999863,,,,2.3931200504,,32.551963806,124.19326019,139.16311646,1.9260495901,59.298999786,0.2509999871,2.0879600048
1125.8651123,,17.593999863,,,,2.3648211956,,25.671600342,131.17182922,147.05143738,1.9571089745,57.705001831,0.2560000122,2.0628061295
1126.0174561,,17.608999252,,,,2.3237016201,,25.430282593,142.28579712,159.41293335,2.025113821,56.736000061,0.2809999883,1.9418591261
1126.1699219,,17.593999863,,,,2.2864766121,,30.600910187,152.76190186,171.19659424,2.0960431099,57.236724854,0.2619663775,1.8541730642
1126.3222656,,17.593999863,,,,2.2811295986,,34.904598236,154.29032898,172.95526123,2.1230094433,58.143001556,0.2199999988,1.9626452923
1126.4746094,,17.577999115,,,,2.3105871677,,34.032901764,145.86514282,163.45999146,2.1290168762,59.986000061,0.224999994,2.3653414249
1126.6270752,,17.593999863,,,,2.3499367237,,36.404098511,134.98544312,151.28503418,2.1500689983,60.611000061,0.1949999928,2.7906284332
1126.7794189,,17.593999863,,,,2.3787949085,,35.221931458,127.6062088,143.00682068,2.193048954,60.361000061,0.1589999944,2.5587539673
1126.9318848,,17.577999115,,,,2.3921794891,,38.872394562,124.43297577,139.36056519,2.2540271282,60.423999786,0.1669999957,2.2517309189
1127.0842285,,17.593999863,,,,2.3882141113,,37.255554199,125.29187775,140.39549255,2.2709503174,60.705001831,0.1519999951,2.0839440823
1127.2366943,,17.608999252,,,,2.3845438957,,40.720504761,126.15411377,141.36183167,2.2399215698,60.986000061,0.1879999936,2.0490159988
1127.3890381,,17.593999863,,,,2.3921189308,,41.658252716,124.3527832,139.33627319,2.1909167767,60.611000061,0.2409999967,2.0590400696
1127.5415039,,17.593999863,,,,2.4020023346,,43.059993744,122.04942322,136.76303101,2.1389439106,60.580001831,0.201000005,2.0841059685
1127.6938477,,17.593999863,,,,2.4104633331,,41.186649323,120.14089966,134.61856079,2.1039807796,60.923999786,0.2109999955,2.1501233578
1127.8463135,,17.593999863,,,,2.4150865078,,40.343448639,119.08412933,133.44839478,2.0919904709,61.205001831,0.2460000068,2.227052927
1127.9986572,,17.608999252,,,,2.4164414406,,40.003704071,118.80330658,133.12199402,2.086006403,61.798999786,0.2509999871,2.2598655224
1128.151123,,17.577999115,,,,2.420779705,,42.311798096,117.872612,132.056427,2.0900094509,61.548801422,0.2779831886,2.1758782864
1128.3034668,,17.593999863,,,,2.4270272255,,41.56470108,116.48262787,130.51194763,2.0960063934,61.298999786,0.2569999993,2.0999581814
1128.4558105,,17.593999863,,,,2.4291958809,,42.624523163,115.96828461,129.98320007,2.0999968052,61.548999786,0.2290000021,2.0740094185
1128.6082764,,17.593999863,,,,2.4330348969,,42.027446747,115.17635345,129.08067322,2.0959935188,61.330001831,0.2230000049,2.08604002
1128.7606201,,17.593999863,,,,2.4313936234,,39.814250946,115.60569763,129.49461365,2.0920031071,61.673999786,0.2230000049,2.1109952927
1128.9130859,,17.593999863,,,,2.4149768353,,41.370597839,119.2252655,133.59230042,2.0960304737,61.423999786,0.2109999955,2.1049728394
1129.0654297,,17.593999863,,,,2.3912236691,,38.6264534,124.63865662,139.667099,2.1150176525,60.705001831,0.1860000044,2.0879824162
1129.2178955,,17.593999863,,,,2.3733801842,,40.432590485,128.8946991,144.41162109,2.1370241642,60.580001831,0.201000005,2.0660030842
1129.3702393,,17.593999863,,,,2.3673257828,,37.064147949,130.30430603,146.04040527,2.152012825,60.705001831,0.2150000036,2.068094492
1129.5227051,,17.593999863,,,,2.3716273308,,37.780097961,129.2640686,144.85050964,2.1600000858,61.205001831,0.2230000049,2.1270258427
